time,temp,icon,precip,wind360,windSpeed,humidity,pressure,load1,load2,load3,load
0,22,100,0.0,135,17,32,990,2.7382919788360596,2.2862401008605957,2.3745720386505127,4.707575798034668
1,22,100,0.0,135,8,33,989,1.6159559488296509,2.2862401008605957,2.3745720386505127,3.9073920249938965
2,22,100,0.0,135,8,34,988,1.6159559488296509,2.2862401008605957,2.3745720386505127,3.751512050628662
3,21,100,0.0,90,7,40,987,1.6159559488296509,2.2862401008605957,2.3745720386505127,3.699552059173584
4,20,100,0.0,270,5,42,987,1.6159559488296509,2.2862401008605957,2.3745720386505127,3.7411201000213623
5,21,100,0.0,90,6,40,986,1.6159559488296509,1.5899759531021118,2.3745720386505127,3.81386399269104
6,22,100,0.0,0,13,37,986,1.6159559488296509,1.5899759531021118,2.3745720386505127,3.8190600872039795
7,22,100,0.0,45,31,35,986,7.819980144500732,7.139304161071777,2.8526039123535156,3.82425594329834
8,22,100,0.0,0,19,37,989,9.456720352172852,4.494540214538574,4.769927978515625,6.889895915985107
9,23,100,0.0,45,33,36,991,9.31123161315918,11.467572212219238,4.551695823669434,4.702380180358887
11,25,100,0.0,45,33,36,993,9.950340270996094,7.232831954956055,8.199288368225098,4.837475776672363
12,25,100,0.0,45,34,40,994,6.209219932556152,10.823267936706543,4.006115913391113,4.723164081573486
13,25,100,0.0,45,22,40,994,3.1539719104766846,4.691987991333008,4.047684192657471,4.743947982788086
14,26,100,0.0,45,17,39,994,8.672123908996582,4.9777679443359375,4.203564167022705,6.1208882331848145
15,26,100,0.0,90,19,36,994,11.005127906799316,10.407588005065918,8.786436080932617,9.430740356445312
16,26,100,0.0,90,15,36,994,6.375492095947266,10.95836353302002,11.192184448242188,5.029727935791016
17,26,100,0.0,90,13,38,994,3.4189679622650146,7.258811950683594,4.3750319480896,8.16291618347168
18,24,100,0.0,135,14,42,994,10.547880172729492,5.590896129608154,2.966916084289551,8.012231826782227
19,23,100,0.0,90,12,44,995,6.333923816680908,8.287619590759277,2.966916084289551,5.803932189941406
20,23,100,0.0,135,7,45,996,6.167652130126953,5.424623966217041,6.858719825744629,3.3670079708099365
21,22,100,0.0,90,14,45,997,5.18560791015625,5.533740043640137,7.258811950683594,3.2423040866851807
22,21,100,0.0,180,13,48,997,8.443499565124512,9.004668235778809,7.09773588180542,2.99809193611145
23,19,100,0.0,180,9,57,997,8.547419548034668,5.788343906402588,8.890356063842773,2.99809193611145
0,18,100,0.0,270,6,61,997,4.707575798034668,2.7382919788360596,2.2862401008605957,1.7770320177078247
1,18,100,0.0,225,9,62,998,3.9073920249938965,1.6159559488296509,2.2862401008605957,1.7770320177078247
2,17,100,0.0,180,4,63,997,3.751512050628662,1.6159559488296509,2.2862401008605957,1.7770320177078247
3,17,100,0.0,135,7,63,996,3.699552059173584,1.6159559488296509,2.2862401008605957,1.7770320177078247
4,17,100,0.0,0,4,59,996,3.7411201000213623,1.6159559488296509,2.2862401008605957,1.7770320177078247
5,17,100,0.0,135,6,62,997,3.81386399269104,1.6159559488296509,1.5899759531021118,1.7770320177078247
6,17,100,0.0,270,1,62,995,3.8190600872039795,1.6159559488296509,1.5899759531021118,1.7770320177078247
7,19,101,0.0,90,2,56,997,3.82425594329834,7.819980144500732,7.139304161071777,1.7770320177078247
8,21,101,0.0,315,1,49,996,6.889895915985107,9.456720352172852,4.494540214538574,1.9485000371932983
9,22,100,0.0,90,6,49,997,4.702380180358887,9.31123161315918,11.467572212219238,2.530452013015747
11,24,100,0.0,45,14,35,996,4.837475776672363,9.950340270996094,7.232831954956055,4.530911922454834
12,25,100,0.0,45,14,27,996,4.723164081573486,6.209219932556152,10.823267936706543,3.689160108566284
13,26,100,0.0,225,4,28,995,4.743947982788086,3.1539719104766846,4.691987991333008,3.699552059173584
14,27,100,0.0,45,4,25,995,6.1208882331848145,8.672123908996582,4.9777679443359375,3.8554320335388184
15,28,100,0.0,90,21,25,994,9.430740356445312,11.005127906799316,10.407588005065918,5.518152236938477
16,28,100,0.0,90,11,26,994,5.029727935791016,6.375492095947266,10.95836353302002,9.945143699645996
17,28,100,0.0,90,15,22,993,8.16291618347168,3.4189679622650146,7.258811950683594,9.8568115234375
18,27,100,0.0,135,16,25,993,8.012231826782227,10.547880172729492,5.590896129608154,6.5521559715271
19,26,100,0.0,135,8,27,994,5.803932189941406,6.333923816680908,8.287619590759277,6.619703769683838
20,24,100,0.0,135,9,34,994,3.3670079708099365,6.167652130126953,5.424623966217041,7.315968036651611
21,22,100,0.0,270,7,41,995,3.2423040866851807,5.18560791015625,5.533740043640137,6.209219932556152
22,21,100,0.0,270,4,45,996,2.99809193611145,8.443499565124512,9.004668235778809,6.349512100219727
23,21,100,0.0,270,4,47,996,2.99809193611145,8.547419548034668,5.788343906402588,4.61924409866333
0,20,100,0.0,0,5,48,996,1.7770320177078247,4.707575798034668,2.7382919788360596,4.07366418838501
1,21,100,0.0,315,5,49,996,1.7770320177078247,3.9073920249938965,1.6159559488296509,3.320244073867798
2,20,100,0.0,180,4,51,995,1.7770320177078247,3.751512050628662,1.6159559488296509,3.320244073867798
3,19,100,0.0,315,6,56,995,1.7770320177078247,3.699552059173584,1.6159559488296509,3.320244073867798
4,19,100,0.0,315,8,60,995,1.7770320177078247,3.7411201000213623,1.6159559488296509,3.320244073867798
5,18,101,0.0,315,9,64,995,1.7770320177078247,3.81386399269104,1.6159559488296509,3.320244073867798
6,18,101,0.0,315,17,64,995,1.7770320177078247,3.8190600872039795,1.6159559488296509,3.3773999214172363
7,19,100,0.0,45,8,66,997,1.7770320177078247,3.82425594329834,7.819980144500732,6.9418559074401855
8,19,101,0.0,0,6,65,996,1.9485000371932983,6.889895915985107,9.456720352172852,12.101484298706055
9,21,101,0.0,45,6,60,996,2.530452013015747,4.702380180358887,9.31123161315918,7.6329240798950195
11,21,104,1.0,0,10,59,995,4.530911922454834,4.837475776672363,9.950340270996094,5.424623966217041
12,23,104,0.0,45,8,52,995,3.689160108566284,4.723164081573486,6.209219932556152,3.8450400829315186
13,24,104,0.0,90,6,50,995,3.699552059173584,4.743947982788086,3.1539719104766846,3.4293599128723145
14,24,104,0.0,225,4,51,995,3.8554320335388184,6.1208882331848145,8.672123908996582,6.827544212341309
15,23,305,0.0,0,19,60,995,5.518152236938477,9.430740356445312,11.005127906799316,6.6768598556518555
16,23,302,0.0,0,10,59,995,9.945143699645996,5.029727935791016,6.375492095947266,7.310771942138672
17,23,305,0.0,0,1,57,996,9.8568115234375,8.16291618347168,3.4189679622650146,6.687252044677734
18,23,104,0.0,135,8,59,995,6.5521559715271,8.012231826782227,10.547880172729492,3.938568115234375
19,22,104,0.0,135,9,69,995,6.619703769683838,5.803932189941406,6.333923816680908,5.559720039367676
20,21,104,0.0,135,13,76,996,7.315968036651611,3.3670079708099365,6.167652130126953,4.156799793243408
21,21,104,0.0,135,3,80,996,6.209219932556152,3.2423040866851807,5.18560791015625,4.156799793243408
22,21,104,0.0,0,7,76,996,6.349512100219727,2.99809193611145,8.443499565124512,8.110956192016602
23,20,104,0.0,0,10,76,997,4.61924409866333,2.99809193611145,8.547419548034668,5.0141401290893555
0,18,104,0.0,0,15,81,996,4.07366418838501,1.7770320177078247,4.707575798034668,2.494080066680908
1,18,104,0.0,315,4,81,997,3.320244073867798,1.7770320177078247,3.9073920249938965,2.494080066680908
2,18,104,0.0,0,2,85,997,3.320244073867798,1.7770320177078247,3.751512050628662,2.494080066680908
3,17,101,0.0,180,9,85,997,3.320244073867798,1.7770320177078247,3.699552059173584,2.494080066680908
4,18,101,0.0,135,7,82,998,3.320244073867798,1.7770320177078247,3.7411201000213623,2.494080066680908
5,18,104,0.0,270,4,83,999,3.320244073867798,1.7770320177078247,3.81386399269104,2.494080066680908
6,18,104,0.0,315,6,82,999,3.3773999214172363,1.7770320177078247,3.8190600872039795,2.494080066680908
7,18,104,0.0,0,12,81,1000,6.9418559074401855,1.7770320177078247,3.82425594329834,2.8889760971069336
8,19,101,0.0,0,10,81,1001,12.101484298706055,1.9485000371932983,6.889895915985107,4.868651866912842
9,19,502,0.0,315,12,76,1001,7.6329240798950195,2.530452013015747,4.702380180358887,5.424623966217041
11,23,100,0.0,0,11,59,1000,5.424623966217041,4.530911922454834,4.837475776672363,7.669295787811279
12,25,101,0.0,45,13,57,1000,3.8450400829315186,3.689160108566284,4.723164081573486,1.9952640533447266
13,26,100,0.0,135,9,50,999,3.4293599128723145,3.699552059173584,4.743947982788086,2.556432008743286
14,26,100,0.0,45,12,51,998,6.827544212341309,3.8554320335388184,6.1208882331848145,3.7307279109954834
